id,country,admin_region,latitude,longitude,total_population,infected,zombified,mutants,deaths,missing,ut_forces,date
1,Russia,Vladivostok,43.1155,131.8853,22197,6917,2980,423,471,91,912,1999-04-16
2,UK,London_City,51.5074,-0.1278,130916,72190,56678,4932,4299,5038,2490,1998-12-17
3,Antarctica,Rockfort_Island,-67.6167,62.8667,4244606,970005,666365,19790,146663,141885,24160,1998-07-28
4,Brazil,Sao_Paulo,-23.5505,-46.6333,6353481,5193937,3961226,204726,342438,357382,170486,1999-02-17
5,France,Marseille,3.0758159318117744,0.8224238495790386,335687,221504,126943,2691,24362,26071,7129,1998-05-02
6,Russia,Moscow,-3.1270639264667555,0.5501745696793509,27328,25653,14786,2144,4014,665,1536,1999-05-30
7,Canada,Vancouver,1.763269541791821,-1.335127450431743,934447,770708,308970,73528,153387,21663,29944,1999-04-17
8,Taiwan,Kaohsiung_City,-1.4187478369460782,0.42363056911450814,64703,8347,6646,629,915,88,307,1998-12-08
9,Russia,Saint_Petersburg,1.7025554541757133,0.21703694487372807,8769,5887,4146,493,741,303,510,1998-05-17
10,Antarctica,Rockfort_Island,-67.6167,62.8667,8098147,2201364,1165501,108791,277015,60311,61468,1998-11-12
11,Antarctica,Base_Omega,1.3325999520384384,-2.3818271865907095,159890,90390,54432,3789,6898,9159,2604,1998-08-28
12,Brazil,Amazon_Region,-1.9372771334816101,-3.219104847382798,490733,302021,156517,28076,33666,31648,10468,1998-12-28
13,France,Marseille,3.0758159318117744,0.8224238495790386,85413,61130,26556,1501,5192,4729,1624,1998-10-21
14,UK,Birmingham,-2.8500477535126296,3.2832201705097055,474571,229456,145453,11360,32776,9792,7376,1998-06-01
15,Brazil,Sao_Paulo,-23.5505,-46.6333,31687,11265,6991,194,1699,328,749,1999-01-30
16,Brazil,Amazon_Region,-1.9372771334816101,-3.219104847382798,129660,116440,69576,9448,9297,6337,5600,1998-11-11
17,Taiwan,Kaohsiung_City,-1.4187478369460782,0.42363056911450814,1018795,325083,259993,12748,35077,8019,3853,1998-05-04
18,Germany,Hamburg,-3.9938192044018974,-2.733540311293427,114160,31867,24253,2140,2185,4527,1110,1999-02-05
19,France,Marseille,3.0758159318117744,0.8224238495790386,30637,9137,5931,757,1372,738,1112,1998-05-21
20,Japan,Kyoto,-0.6353533556324394,-4.121988575775276,1028467,805714,423235,25083,55339,36395,16327,1998-12-24
21,Brazil,Sao_Paulo,-23.5505,-46.6333,79563,48008,22025,4639,4989,3884,2617,1998-08-01
22,Germany,Berlin,52.52,13.405,76304,13416,9897,936,672,192,688,1998-07-28
23,Japan,Akita_Pref,-2.265945629067376,2.5379745781799965,17513,3260,1509,237,422,43,775,1998-08-21
24,France,Paris_District,1.1184999132560782,0.24669544334403318,3595248,385273,163140,36073,45054,44805,9951,1998-12-07
25,USA,Texas,-0.36160829624950047,-1.7712103761382976,1368102,546055,374185,38199,99170,8712,11286,1998-08-06
26,Canada,Ottawa,1.480608918212311,-1.9217980547608868,98481,44641,22377,2042,6723,4839,1958,1998-09-19
27,Germany,Berlin,52.52,13.405,29023,9688,7357,499,1360,355,1313,1998-09-27
28,Australia,Melbourne,2.2429425392786246,-0.21824634033095125,633212,236861,179074,18354,34364,12221,3594,1998-06-17
29,USA,California,-3.768367786224215,-7.269105964257913,364708,211596,133160,2116,34877,16364,10213,1998-06-20
30,Antarctica,Rockfort_Island,-67.6167,62.8667,71974,37447,26054,3144,3325,642,1024,1998-11-24
31,Antarctica,Base_Omega,1.3325999520384384,-2.3818271865907095,135913,56728,25374,3003,7279,8003,1489,1998-05-11
32,Canada,Vancouver,1.763269541791821,-1.335127450431743,531472,250884,161526,12985,30601,5432,4031,1999-01-25
33,Taiwan,Tainan_City,-1.3817801379542258,-6.823508848071515,257535,193980,116407,8503,35740,10803,3197,1999-01-18
34,Russia,Moscow,-3.1270639264667555,0.5501745696793509,341269,167479,83893,8377,10315,12032,5229,1998-11-13
35,UK,Birmingham,-2.8500477535126296,3.2832201705097055,274981,250211,189730,13805,23530,30102,6785,1998-11-02
36,Australia,Sydney,-33.8688,151.2093,700404,367940,275972,19911,36621,37473,7682,1999-02-20
37,Taiwan,Tainan_City,-1.3817801379542258,-6.823508848071515,53808,16757,12193,956,1352,646,799,1998-12-07
38,France,Bordeaux,1.1704801824038547,-1.9678579598366681,224913,201627,151083,3739,12222,12322,4067,1998-07-20
39,Taiwan,Taichung_City,-2.6047385575082553,7.177168990234618,38882,3658,2827,85,407,386,449,1998-12-08
40,Russia,Siberia_Zone,61.0137,99.1967,44930,37283,23248,957,2614,3882,2046,1999-05-14
41,France,Bordeaux,1.1704801824038547,-1.9678579598366681,7327986,856825,520288,51081,126587,93437,26913,1998-10-17
42,Australia,Melbourne,2.2429425392786246,-0.21824634033095125,9915,6053,4709,500,712,746,833,1998-07-25
43,Russia,Moscow,-3.1270639264667555,0.5501745696793509,619668,523164,396204,27296,80058,37780,20080,1998-06-13
44,Japan,Kyoto,-0.6353533556324394,-4.121988575775276,37380023,3805374,2416477,290009,644792,493348,114536,1999-01-16
45,UK,Manchester,-0.16330745969565263,5.456915438611025,5550042,5270158,2381329,149688,903047,632669,151798,1998-08-12
46,Australia,Perth,-2.3821152566781127,0.315955519096403,502361,230238,162044,2695,31823,24296,4068,1999-02-08
47,Japan,Akita_Pref,-2.265945629067376,2.5379745781799965,7430172,3465898,1627264,325911,299295,118366,163592,1998-12-14
48,Canada,Ottawa,1.480608918212311,-1.9217980547608868,363300,118571,88072,7619,10535,1389,5403,1998-11-04
49,Australia,Perth,-2.3821152566781127,0.315955519096403,90671,34081,23154,907,4843,3039,1159,1998-08-29
50,Canada,Toronto,-2.097557183413056,-0.6387742714220199,170171,73683,45376,5489,10143,1481,2734,1998-09-26
51,France,Paris_District,1.1184999132560782,0.24669544334403318,985749,168637,131662,14850,22096,16953,2190,1999-04-17
52,Japan,Osaka,1.5102506162201896,-3.245233909150882,10372904,4796272,3196635,164359,699158,96490,216276,1999-03-01
53,UK,Manchester,-0.16330745969565263,5.456915438611025,1363710,773805,380599,34690,61049,58328,25635,1998-06-26
54,Russia,Siberia_Zone,61.0137,99.1967,136833,3453,1749,58,668,375,544,1999-04-06
55,Brazil,Brasilia,-0.49583118872479576,4.486676700154028,45888,32484,15255,2445,4647,1696,2287,1998-11-05
56,Taiwan,Hualien_County,2.595969444828932,-2.4187338956450457,3863,2061,1554,154,240,255,629,1999-04-22
57,USA,Raccoon_City,38.8333,-97.5333,124401,13068,6711,775,1753,772,1167,1998-06-07
58,UK,Manchester,-0.16330745969565263,5.456915438611025,21051,16855,13178,749,2169,2208,294,1998-11-17
59,Japan,Kyoto,-0.6353533556324394,-4.121988575775276,1039822,491251,286247,35472,91028,29953,11657,1998-12-15
60,Brazil,Rio_de_Janeiro,1.6986398029712801,-0.14451882298422256,98774,39976,29792,3990,5902,2524,2147,1999-05-21
61,UK,Manchester,-0.16330745969565263,5.456915438611025,1139016,415302,239496,19247,65882,15914,7617,1998-09-08
62,Japan,Okinawa,-0.7058126639679835,7.705785461881211,24525394,18289498,14322599,1323982,2889971,1232388,837042,1998-10-18
63,Germany,Berlin,52.52,13.405,125936,9803,7007,817,1205,1307,612,1999-03-26
64,Germany,Munich,1.3304192527089729,0.9162062377984493,225876,151441,117342,14351,23649,6976,7062,1998-06-04
65,Canada,Vancouver,1.763269541791821,-1.335127450431743,337194,204216,149158,12388,29829,9823,6843,1998-11-17
66,UK,Manchester,-0.16330745969565263,5.456915438611025,93009,37463,25029,2606,2959,4084,2343,1998-10-15
67,Germany,Frankfurt,-4.724921723598893,2.452041664770111,205773,185988,141022,5662,25238,24480,6577,1999-05-16
68,Japan,Hokkaido,0.8748241824825881,-0.4771821068560608,81309,42576,18724,768,2337,5838,1199,1999-01-01
69,Canada,Montreal,3.577033218814007,0.06437063883327881,2461147,1393981,793153,128206,127911,150690,50350,1998-12-10
70,Japan,Tokyo,35.6895,139.6917,106255,77055,44723,6031,8124,8473,3258,1999-04-06
71,Canada,Montreal,3.577033218814007,0.06437063883327881,13899,8262,6131,738,447,666,687,1998-06-27
72,UK,Edinburgh,0.6060610566215301,-4.154607930958573,16413,13145,8131,284,2608,1204,560,1999-02-14
73,Brazil,Sao_Paulo,-23.5505,-46.6333,30756,6712,4108,334,794,897,1054,1998-05-25
74,Russia,Siberia_Zone,61.0137,99.1967,66943,49984,25602,3601,8839,3314,2642,1998-06-01
75,Australia,Brisbane,-0.8665823898368763,9.314114221014716,937459,57504,35554,5649,8002,3675,2421,1998-08-18
76,Brazil,Rio_de_Janeiro,1.6986398029712801,-0.14451882298422256,826400,536666,410553,22570,72958,32297,13342,1998-08-09
77,France,Bordeaux,1.1704801824038547,-1.9678579598366681,976918,914530,655726,80902,51050,105309,15750,1998-09-27
78,Japan,Kyoto,-0.6353533556324394,-4.121988575775276,168849,110314,76913,10534,10906,15927,1481,1999-05-18
79,France,Bordeaux,1.1704801824038547,-1.9678579598366681,1187584,372673,252302,17471,42922,20069,5012,1999-04-10
80,Brazil,Amazon_Region,-1.9372771334816101,-3.219104847382798,100227,48279,27165,4027,7697,1578,1553,1998-11-09
81,Canada,Toronto,-2.097557183413056,-0.6387742714220199,4646,4382,3149,79,355,356,107,1998-08-17
82,Australia,Melbourne,2.2429425392786246,-0.21824634033095125,1085474,494414,261182,36453,80942,20412,10468,1999-04-21
83,Australia,Sydney,-33.8688,151.2093,41838,31320,23076,1625,4800,3791,1709,1999-02-01
84,USA,Arklay_County,2.441439224449056,-2.9081933913488074,106054,18455,14494,272,1274,1237,890,1998-12-19
85,Australia,Brisbane,-0.8665823898368763,9.314114221014716,79244,63313,33600,5128,8263,8729,2152,1998-05-21
86,Russia,Saint_Petersburg,1.7025554541757133,0.21703694487372807,463031,77953,53950,5288,9318,9670,2998,1999-05-08
87,Australia,Sydney,-33.8688,151.2093,224177,211615,159800,10713,23781,22902,9919,1999-01-07
88,Brazil,Rio_de_Janeiro,1.6986398029712801,-0.14451882298422256,103421,10683,6549,342,1258,279,234,1998-05-14
89,USA,Texas,-0.36160829624950047,-1.7712103761382976,3985078,1447258,1036290,90967,129945,186825,43858,1998-12-01
90,Brazil,Brasilia,-0.49583118872479576,4.486676700154028,136232,90942,58417,2344,14427,11385,4758,1998-05-24
91,Brazil,Rio_de_Janeiro,1.6986398029712801,-0.14451882298422256,101824,72105,53741,1380,13581,4522,2799,1998-05-20
92,Antarctica,Rockfort_Island,-67.6167,62.8667,819429,239025,179903,14885,38833,27976,7661,1998-11-18
93,Taiwan,Taipei_City,1.6582573663341151,2.124440670053682,1681491,956097,629638,26566,116772,137566,32943,1999-03-17
94,USA,Illinois,-0.1071992535331094,-2.5699940756529567,967403,79050,39788,6430,5835,7306,2206,1998-06-21
95,Brazil,Rio_de_Janeiro,1.6986398029712801,-0.14451882298422256,49737,1738,1121,30,262,217,520,1999-04-22
96,Taiwan,Hualien_County,2.595969444828932,-2.4187338956450457,339858,44669,23116,1150,4754,4747,1092,1998-11-02
97,Taiwan,Tainan_City,-1.3817801379542258,-6.823508848071515,193366,73023,29851,5671,8233,4436,2339,1998-11-23
98,USA,Texas,-0.36160829624950047,-1.7712103761382976,110970,51576,41103,4508,5864,2244,2099,1999-04-25
99,Antarctica,Base_Omega,1.3325999520384384,-2.3818271865907095,25611,2433,1403,83,414,289,281,1998-08-03
100,France,Bordeaux,1.1704801824038547,-1.9678579598366681,253390,105980,61895,2073,15469,5423,1827,1999-04-13
101,Canada,Ottawa,1.480608918212311,-1.9217980547608868,1433367,1240000,767670,46349,113455,165687,56073,1999-01-21
102,Russia,Saint_Petersburg,1.7025554541757133,0.21703694487372807,4237446,2394012,1682151,50581,340612,102759,74490,1999-03-22
103,Canada,Montreal,3.577033218814007,0.06437063883327881,1634379,479315,336941,10448,89068,12140,10608,1998-05-15
104,Australia,Melbourne,2.2429425392786246,-0.21824634033095125,66808,11994,7450,867,1174,836,1470,1998-10-22
105,Russia,Saint_Petersburg,1.7025554541757133,0.21703694487372807,25691,12519,9078,924,1019,960,810,1998-12-05
106,Australia,Perth,-2.3821152566781127,0.315955519096403,8718,1994,966,181,248,43,925,1998-05-10
107,Brazil,Sao_Paulo,-23.5505,-46.6333,1342140,1201900,888843,90644,203636,97040,50594,1998-05-19
