id,country,admin_region,total_population,infected,zombified,mutants,deaths,missing,ut_forces,date,latitude,longitude
1,Russia,Vladivostok,22197,6917,2980,423,471,91,912,1999-04-16,43.1155,131.8853
2,UK,London_City,130916,72190,56678,4932,4299,5038,2490,1998-12-17,51.5074,-0.1278
3,Antarctica,Rockfort_Island,4244606,970005,666365,19790,146663,141885,24160,1998-07-28,-67.6167,62.8667
4,Brazil,Sao_Paulo,6353481,5193937,3961226,204726,342438,357382,170486,1999-02-17,-23.5505,-46.6333
5,France,Marseille,335687,221504,126943,2691,24362,26071,7129,1998-05-02,3.0758159318117744,0.8224238495790386
6,Russia,Moscow,27328,25653,14786,2144,4014,665,1536,1999-05-30,-3.1270639264667555,0.5501745696793509
7,Canada,Vancouver,934447,770708,308970,73528,153387,21663,29944,1999-04-17,1.763269541791821,-1.335127450431743
8,Taiwan,Kaohsiung_City,64703,8347,6646,629,915,88,307,1998-12-08,-1.4187478369460782,0.4236305691145081
9,Russia,Saint_Petersburg,8769,5887,4146,493,741,303,510,1998-05-17,1.7025554541757133,0.217036944873728
10,Antarctica,Rockfort_Island,8098147,2201364,1165501,108791,277015,60311,61468,1998-11-12,-67.6167,62.8667
11,Antarctica,Base_Omega,159890,90390,54432,3789,6898,9159,2604,1998-08-28,1.3325999520384384,-2.381827186590709
12,Brazil,Amazon_Region,490733,302021,156517,28076,33666,31648,10468,1998-12-28,-1.93727713348161,-3.219104847382798
13,France,Marseille,85413,61130,26556,1501,5192,4729,1624,1998-10-21,3.0758159318117744,0.8224238495790386
14,UK,Birmingham,474571,229456,145453,11360,32776,9792,7376,1998-06-01,-2.8500477535126296,3.283220170509705
15,Brazil,Sao_Paulo,31687,11265,6991,194,1699,328,749,1999-01-30,-23.5505,-46.6333
16,Brazil,Amazon_Region,129660,116440,69576,9448,9297,6337,5600,1998-11-11,-1.93727713348161,-3.219104847382798
17,Taiwan,Kaohsiung_City,1018795,325083,259993,12748,35077,8019,3853,1998-05-04,-1.4187478369460782,0.4236305691145081
18,Germany,Hamburg,114160,31867,24253,2140,2185,4527,1110,1999-02-05,-3.9938192044018974,-2.733540311293427
19,France,Marseille,30637,9137,5931,757,1372,738,1112,1998-05-21,3.0758159318117744,0.8224238495790386
20,Japan,Kyoto,1028467,805714,423235,25083,55339,36395,16327,1998-12-24,-0.6353533556324394,-4.121988575775276
21,Brazil,Sao_Paulo,79563,48008,22025,4639,4989,3884,2617,1998-08-01,-23.5505,-46.6333
22,Germany,Berlin,76304,13416,9897,936,672,192,688,1998-07-28,52.52,13.405
23,Japan,Akita_Pref,17513,3260,1509,237,422,43,775,1998-08-21,-2.265945629067376,2.5379745781799965
24,France,Paris_District,3595248,385273,163140,36073,45054,44805,9951,1998-12-07,1.1184999132560782,0.2466954433440331
25,USA,Texas,1368102,546055,374185,38199,99170,8712,11286,1998-08-06,-0.3616082962495004,-1.7712103761382976
26,Canada,Ottawa,98481,44641,22377,2042,6723,4839,1958,1998-09-19,1.480608918212311,-1.9217980547608868
27,Germany,Berlin,29023,9688,7357,499,1360,355,1313,1998-09-27,52.52,13.405
28,Australia,Melbourne,633212,236861,179074,18354,34364,12221,3594,1998-06-17,2.2429425392786246,-0.2182463403309512
29,USA,California,364708,211596,133160,2116,34877,16364,10213,1998-06-20,-3.768367786224215,-7.269105964257913
30,Antarctica,Rockfort_Island,71974,37447,26054,3144,3325,642,1024,1998-11-24,-67.6167,62.8667
31,Antarctica,Base_Omega,135913,56728,25374,3003,7279,8003,1489,1998-05-11,1.3325999520384384,-2.381827186590709
32,Canada,Vancouver,531472,250884,161526,12985,30601,5432,4031,1999-01-25,1.763269541791821,-1.335127450431743
33,Taiwan,Tainan_City,257535,193980,116407,8503,35740,10803,3197,1999-01-18,-1.3817801379542258,-6.823508848071515
34,Russia,Moscow,341269,167479,83893,8377,10315,12032,5229,1998-11-13,-3.1270639264667555,0.5501745696793509
35,UK,Birmingham,274981,250211,189730,13805,23530,30102,6785,1998-11-02,-2.8500477535126296,3.283220170509705
36,Australia,Sydney,700404,367940,275972,19911,36621,37473,7682,1999-02-20,-33.8688,151.2093
37,Taiwan,Tainan_City,53808,16757,12193,956,1352,646,799,1998-12-07,-1.3817801379542258,-6.823508848071515
38,France,Bordeaux,224913,201627,151083,3739,12222,12322,4067,1998-07-20,1.1704801824038549,-1.967857959836668
39,Taiwan,Taichung_City,38882,3658,2827,85,407,386,449,1998-12-08,-2.604738557508256,7.177168990234618
40,Russia,Siberia_Zone,44930,37283,23248,957,2614,3882,2046,1999-05-14,61.0137,99.1967
41,France,Bordeaux,7327986,856825,520288,51081,126587,93437,26913,1998-10-17,1.1704801824038549,-1.967857959836668
42,Australia,Melbourne,9915,6053,4709,500,712,746,833,1998-07-25,2.2429425392786246,-0.2182463403309512
43,Russia,Moscow,619668,523164,396204,27296,80058,37780,20080,1998-06-13,-3.1270639264667555,0.5501745696793509
44,Japan,Kyoto,37380023,3805374,2416477,290009,644792,493348,114536,1999-01-16,-0.6353533556324394,-4.121988575775276
45,UK,Manchester,5550042,5270158,2381329,149688,903047,632669,151798,1998-08-12,-0.1633074596956526,5.456915438611025
46,Australia,Perth,502361,230238,162044,2695,31823,24296,4068,1999-02-08,-2.3821152566781127,0.315955519096403
